vendor_id,report_type,report_input,is_completed,file_path,generated_by
2501,2,"2020-01-01,2021-05-21",True,/buymore2/Reports/report_id_2501_2020-01-01_2021-05-21.xlsx,0
982,4,982,True,/buymore2/Reports/report_id_609b7ff7156bda4ac5af3bae.csv,1
892,2,"2021-01-01,2021-04-30",True,/buymore2/Reports/report_id_892_2021-01-01_2021-04-30.xlsx,0
2394,4,982,True,/buymore2/Reports/report_id_609b849ae792901cb2d97970.csv,
187,2,"1970-01-01,1970-01-31",False,no dd_id found,
187,3,"{""vendor_id"":187}",True,/buymore2/Reports/report_id_609b93035c0a1471cd6c1bab.csv,
141,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_141_2021-04-01_2021-04-30.xlsx,
2392,4,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_609bd3e95c0a1471cd6c1e29.csv,
2501,4,"{""vendor_id"":2501}",True,/buymore2/Reports/report_id_609c13665c0a1471cd6c1e52.csv,
877,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_877_2021-05-01_2021-05-31.xlsx,
877,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_877_2021-04-01_2021-04-30.xlsx,
2432,2,"2021-05-01,2021-05-31",False,no dd_id found,
2432,2,"2021-04-01,2021-04-30",False,no dd_id found,
2391,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2391_2021-05-01_2021-05-31.xlsx,
2391,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2391_2021-04-01_2021-04-30.xlsx,
1004,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1004_2021-05-01_2021-05-31.xlsx,
1004,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1004_2021-04-01_2021-04-30.xlsx,
1005,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1005_2021-05-01_2021-05-31.xlsx,
1005,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1005_2021-04-01_2021-04-30.xlsx,
181,3,"{""vendor_id"":181}",True,/buymore2/Reports/report_id_609cf1c2b849eae6cff3dda7.csv,
181,1,"{""vendor_id"":181}",True,/buymore2/Reports/report_id_609cf90ab849eae6cff3ddc4.csv,
181,6,"{""vendor_id"":181}",True,/buymore2/Reports/report_id_609d00d0b849eae6cff3ddcc.csv,
2393,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2393_2021-05-01_2021-05-31.xlsx,
2393,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2393_2021-04-01_2021-04-30.xlsx,
2392,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2392_2021-05-01_2021-05-31.xlsx,
2392,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2392_2021-04-01_2021-04-30.xlsx,
71,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_71_2021-05-01_2021-05-31.xlsx,
71,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_71_2021-04-01_2021-04-30.xlsx,
1003,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1003_2021-05-01_2021-05-31.xlsx,
1003,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1003_2021-04-01_2021-04-30.xlsx,
1002,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1002_2021-05-01_2021-05-31.xlsx,
1002,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1002_2021-04-01_2021-04-30.xlsx,
943,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_943_2021-05-01_2021-05-31.xlsx,
943,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_943_2021-04-01_2021-04-30.xlsx,
964,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_964_2021-05-01_2021-05-31.xlsx,
964,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_964_2021-04-01_2021-04-30.xlsx,
1039,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1039_2021-05-01_2021-05-31.xlsx,
1039,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1039_2021-04-01_2021-04-30.xlsx,
756,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_756_2021-05-01_2021-05-31.xlsx,
756,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_756_2021-04-01_2021-04-30.xlsx,
1035,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1035_2021-05-01_2021-05-31.xlsx,
1035,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1035_2021-04-01_2021-04-30.xlsx,
815,2,"2021-05-01,2021-05-31",False,no dd_id found,
815,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_815_2021-04-01_2021-04-30.xlsx,
992,2,"2021-05-01,2021-05-31",False,no dd_id found,
992,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_992_2021-04-01_2021-04-30.xlsx,
912,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_912_2021-05-01_2021-05-31.xlsx,
912,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_912_2021-04-01_2021-04-30.xlsx,
2390,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2390_2021-05-01_2021-05-31.xlsx,
2390,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2390_2021-04-01_2021-04-30.xlsx,
2394,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2394_2021-05-01_2021-05-31.xlsx,
2394,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2394_2021-04-01_2021-04-30.xlsx,
2397,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2397_2021-05-01_2021-05-31.xlsx,
2397,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2397_2021-04-01_2021-04-30.xlsx,
969,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_969_2021-05-01_2021-05-31.xlsx,
969,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_969_2021-04-01_2021-04-30.xlsx,
2388,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2388_2021-05-01_2021-05-31.xlsx,
2388,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2388_2021-04-01_2021-04-30.xlsx,
1065,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1065_2021-05-01_2021-05-31.xlsx,
1065,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1065_2021-04-01_2021-04-30.xlsx,
2391,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2391_2021-04-01_2021-04-30.xlsx,
2391,1,"{""vendor_id"":2391}",True,/buymore2/Reports/report_id_609e0649b849eae6cff3dff6.csv,
1035,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1035_2021-04-01_2021-04-30.xlsx,
2400,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2400_2021-04-01_2021-04-30.xlsx,
